adresse,pris,ejerudgift,meter
" Godsbanegade 4, 5.",8900000,3483,143
" Esbern Snares Gade 9, 2. tv",3995000,2500,75
 Sundevedsgade TR2,9300000,9123,152
" Kapselgade 4, 2.  nr. 2, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 2.  nr. 5, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 2.  nr. 11, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 2.  nr. 3, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 2.  nr. 1, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 2.  nr. 10, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 2.  nr. 9, Administrationsbygningen, Carlsberg Byen",2295000,1944,40
" Kapselgade 4, 2.  nr. 6, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 2.  nr. 4, Administrationsbygningen, Carlsberg Byen",2295000,1899,39
" Kapselgade 4, 3.  nr. 19, Administrationsbygningen, Carlsberg Byen",2345000,1907,39
" Kapselgade 4, 3.  nr. 25, Administrationsbygningen, Carlsberg Byen",2345000,1907,39
" J.C. Jacobsens Gade 11, 1. mf., Caroline Hus, Carlsberg Byen",2445000,1619,39
" Kapselgade 4, 2.  nr. 8, Administrationsbygningen, Carlsberg Byen",2545000,2156,43
" Kapselgade 4, 3.  nr. 26, Administrationsbygningen, Carlsberg Byen",2545000,2338,47
" J.C. Jacobsens Gade 11, 2. mf., Caroline Hus, Carlsberg Byen",2595000,1669,39
" Kapselgade 4, 3.  nr. 28, Administrationsbygningen, Carlsberg Byen",2645000,2007,39
" Kapselgade 4, 3.  nr. 27, Administrationsbygningen, Carlsberg Byen",2645000,2007,39
" Kapselgade 4, 3.  nr. 21, Administrationsbygningen, Carlsberg Byen",2645000,2281,45
" Kapselgade 4, 3.  nr. 23, Administrationsbygningen, Carlsberg Byen",2645000,2235,44
" Kapselgade 4, 3.  nr. 20, Administrationsbygningen, Carlsberg Byen",2645000,2098,41
" Kapselgade 4, 3.  nr. 32, Administrationsbygningen, Carlsberg Byen",2645000,2053,40
" Kapselgade 4, 3.  nr. 24, Administrationsbygningen, Carlsberg Byen",2645000,2144,42
" J.C. Jacobsens Gade 11, 3. mf., Caroline Hus, Carlsberg Byen",2745000,1711,39
" Kapselgade 4, 2.  nr. 12, Administrationsbygningen, Carlsberg Byen",2745000,2896,58
" J.C. Jacobsens Gade 11, 4. mf., Caroline Hus, Carlsberg Byen",2895000,1761,39
" Kapselgade 4, 2.  nr. 16, Administrationsbygningen, Carlsberg Byen",2945000,2326,44
" Kapselgade 4, 2.  nr. 15, Administrationsbygningen, Carlsberg Byen",2945000,2326,44
" J.C. Jacobsens Gade 15, 1. th., Caroline Hus, Carlsberg Byen ]",2995000,2454,64
"[ Bryggernes Plads 20, 2.  nr. 2, Caroline Hus, Carlsberg Byen",2995000,2253,55
" J.C. Jacobsens Gade 15, 2. mf., Caroline Hus, Carlsberg Byen",2995000,2053,50
" Bag Elefanterne 27, st. mf., Fristrup Hus, Carlsberg Byen",2995000,2481,63
" Bag Elefanterne 25, 1. mf., Fristrup Hus, Carlsberg Byen",2995000,2119,46
" Malttorvet 20, st. mf., Brygmester Hus, Carlsberg Byen",2995000,2230,46
" Kildepladsen 18, 1.  nr. 2, Djørup Hus, Carlsberg Byen",2995000,2479,58
" Kildepladsen 18, 1.  nr. 1, Djørup Hus, Carlsberg Byen",2995000,2479,59
" Bag Elefanterne 29, 1. mf., Fristrup Hus, Carlsberg Byen",2995000,2149,53
" Bag Elefanterne 31, 1.  nr. 2, Fristrup Hus, Carlsberg Byen",2995000,2240,52
" Paulas Passage 3, 5.  nr. 4, Dahlerups Tårn, Carlsberg Byen",3045000,2181,53
" Paulas Passage 3, 5.  nr. 3, Dahlerups Tårn, Carlsberg Byen",3045000,2181,53
" Kapselgade 4, 3.  nr. 29, Administrationsbygningen, Carlsberg Byen",3045000,2360,44
" Kildepladsen 18, 2.  nr. 2, Djørup Hus, Carlsberg Byen",3075000,2504,58
" Kildepladsen 18, 2.  nr. 1, Djørup Hus, Carlsberg Byen",3075000,2504,59
" Paulas Passage 3, 6.  nr. 3, Dahlerups Tårn, Carlsberg Byen",3095000,2198,53
" Paulas Passage 3, 6.  nr. 4, Dahlerups Tårn, Carlsberg Byen",3095000,2198,53
" Bag Elefanterne 25, 2. mf., Fristrup Hus, Carlsberg Byen",3095000,2144,46
" Gamle Carlsberg Vej 9, st. th., Brygmester Hus, Carlsberg Byen",3095000,2255,48
" Bag Elefanterne 31, 2.  nr. 2, Fristrup Hus, Carlsberg Byen",3095000,2265,52
" Bag Elefanterne 29, 2. mf., Fristrup Hus, Carlsberg Byen",3095000,2174,53
" Paulas Passage 3, 7.  nr. 4, Dahlerups Tårn, Carlsberg Byen",3145000,2215,53
" Paulas Passage 3, 7.  nr. 3, Dahlerups Tårn, Carlsberg Byen",3145000,2215,53
" J.C. Jacobsens Gade 15, 3. mf., Caroline Hus, Carlsberg Byen",3145000,2094,50
" Kildepladsen 18, 1.  nr. 5, Djørup Hus, Carlsberg Byen",3150000,2675,63
" Paulas Passage 3, 8.  nr. 3, Dahlerups Tårn, Carlsberg Byen",3195000,2231,53
" Paulas Passage 3, 8.  nr. 4, Dahlerups Tårn, Carlsberg Byen",3195000,2231,53
" Bryggernes Plads 20, 3.  nr. 2, Caroline Hus, Carlbserg Byen",3195000,2312,55
" Bag Elefanterne 25, 3. mf., Fristrup Hus, Carlsberg Byen",3195000,2177,46
" Malttorvet 20, 1. mf., Brygmester Hus, Carlsberg Byen",3195000,2288,46
" Kildepladsen 18, 2.  nr. 5, Djørup Hus, Carlsberg Byen",3225000,2700,63
" Bag Elefanterne 27, 1. mf., Fristrup Hus, Carlsberg Byen",3250000,2526,62
" Kildepladsen 14, 1.  nr. 3, Djørup Hus, Carlsberg Byen",3250000,2400,56
" Kildepladsen 14, 1.  nr. 2, Djørup Hus, Carlsberg Byen",3250000,2400,56
" J.C. Jacobsens Gade 15, 4. mf., Caroline Hus, Carlsberg Byen",3295000,2144,50
" Malttorvet 20, 2. mf., Brygmester Hus, Carlsberg Byen",3295000,2322,46
" Kildepladsen 14, 2.  nr. 3, Djørup Hus, Carlsberg Byen",3325000,2425,56
