date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-05 18:14:26,Michaela_BYMA,,0,3,2,"To all my colleagues and friends all over the world who was supposed to attend the global @HIMSS event HIMSS Announces Cancellation of the 2020 Global Health Conference &amp; Exhibition | HIMSS20 #himss #cancellation #corona #COVID19",,@HIMSS,#himss #cancellation #corona #COVID19,1235629759645671424,https://twitter.com/Michaela_BYMA/status/1235629759645671424
2020-03-05 17:34:08,anderschdk,,0,0,2,"Hvis du er Brøndbyfan og har slikket på Thomas Kahlenberg, bør du blive tjekket for Corona, siger de på DR",,,,1235619619974635520,https://twitter.com/anderschdk/status/1235619619974635520
2020-03-05 17:33:30,rasmustrenskow,_OfficialMikael,0,0,0,"Argh... det minder mig om jeg faktisk ville ned efter Corona bajer for at støtte op om bryggeriet ",,,,1235619458003218434,https://twitter.com/rasmustrenskow/status/1235619458003218434
2020-03-05 17:26:58,rafaqfangueiro,,1,0,1,"Sabem q como ninguém morre de sida também ninguém morre de Corona vírus não sabem?",,,,1235617813701832704,https://twitter.com/rafaqfangueiro/status/1235617813701832704
2020-03-05 17:06:09,FalkenOnTwitte,Eighty8,1,0,0,"Mb they should've taught you how the corona virus actually works and who's most likely to die... Glad i live in Denmark",,,,1235612574663741440,https://twitter.com/FalkenOnTwitte/status/1235612574663741440
2020-03-05 17:02:14,gyldenlve64,,1,0,12,"Karantæne pga corona ",,,,1235611590176563200,https://twitter.com/gyldenlve64/status/1235611590176563200
2020-03-05 16:51:15,mickday2001,realDonaldTrump,0,0,0,"All true. Trump does not want you to go to work with Corona Virus. He would however encourage all Corona Virus sufferers to go to his rallies, Hug any MAGA hat wearer you meet. Prove the virologists and scientists wrong. Let's show these Dems that Corona Virus is Fake News.",,,,1235608826742820866,https://twitter.com/mickday2001/status/1235608826742820866
2020-03-05 16:34:20,MathiBoii,MathiBoii,0,0,0,"Og har de været i fysisk kontakt, er der risiko for corona, dermed burde de komme i karantæne. Derfor tror jeg de ender med at aflyse, som nye oplysninger kommer frem, og kun de kampe med Jyske hold (og OB) spilles.",,,,1235604571352952838,https://twitter.com/MathiBoii/status/1235604571352952838
2020-03-05 16:17:36,jaysoyham,,1,0,3,"tw corona // ncov 2019 that's not the shade of red i'd like to see ",,,,1235600356970815488,https://twitter.com/jaysoyham/status/1235600356970815488
2020-03-05 16:17:19,NORDJYSKEsport,,0,0,1,"Trods Corona-indtog i Superligaen: AaB-kamp mod Lyngby kan spilles ",,,,1235600286577758210,https://twitter.com/NORDJYSKEsport/status/1235600286577758210
2020-03-05 15:47:56,LarsNunne,,1,1,4,"Det er da klart, hun ikke skal i karantæne. Som MF har hun jo immunitet #corona ",,,#corona,1235592894234464267,https://twitter.com/LarsNunne/status/1235592894234464267
2020-03-05 15:40:28,riesmoeller,,0,0,1,"Sundhedsstyrelsen Endelig#sundpol Vi har tradition for overvågningen af influenza- sentinel. Der bør laves sentinel overvågning af corona, så svækkede ældre eller de mange unge på biologisk medicin kan føle sig trygge. ",,,,1235591012539645952,https://twitter.com/riesmoeller/status/1235591012539645952
2020-03-05 15:21:14,medicineofhes,,0,0,1,"corona in my country really be hating me huh? like, leave my city alone and stay in the south ",,,,1235586174825066502,https://twitter.com/medicineofhes/status/1235586174825066502
2020-03-05 15:06:45,jnkjaer,,2,0,0,"Så rammer corona-panikken også mig. Årsmødet for Dansk Psykiatrisk Selskab bliver en tynd omgang. Alle læger i @RegionH og nu også @Region_Midt må ikke tage afsted. Begrundelse: ""medarbejdere skal være til rådighed for at håndtere presset på sundhedsvæsnet"" 1/ #sundpol",,@RegionH @Region_Midt,#sundpol,1235582529970765824,https://twitter.com/jnkjaer/status/1235582529970765824
